session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,Implicit,Explicit,politics,education,racenum,filter_$
21238354,C,2014,12,6,m,4,4,,US,US,2,6,WA,0,0,-0.35234630903662006,4,6,2,6,1
8668286,C,2008,17,8,m,5,5,,CO,ES,3,4,,0,1,0.4154476096192008,5,4,3,8,1
19565446,C,2013,17,6,f,4,4,,US,US,3,7,MI,1,0,-0.2012155568762609,4,7,3,6,1
2619791265,C,2015,NA,6,.,4,4,,1,1,NA,6,,0,0,0.5588234841736399,4,6,5,6,1
9888899,C,2008,19,6,m,4,4,,US,US,7,6,MN,0,0,0.3875727884576211,4,6,7,6,1
16922908,C,2012,20,6,f,5,5,,US,US,5,6,WA,1,0,-0.9689527782994138,5,6,5,6,1
11754762,C,2009,36,6,m,6,6,,US,US,7,5,OH,0,0,0.4349107000875958,6,5,7,6,1
2614356999,C,2014,28,6,f,4,4,,US,US,7,2,TX,1,0,0.6833068981685604,4,2,7,6,1
20974015,C,2014,22,8,f,4,4,,CR,CR,7,6,TN,1,1,0.6118731236675612,4,6,7,8,1
19951176,C,2013,16,8,m,4,4,,US,US,4,4,,0,0,0.1495493463969619,4,4,4,8,1
19001493,C,2013,21,6,m,7,7,,US,US,5,2,FL,0,0,1.025004407345727,7,2,5,6,1
8836233,C,2008,39,6,m,3,3,,US,AF,6,4,,0,0,0.1951387074629332,3,4,6,6,1
13020147,C,2010,23,6,f,4,4,,US,US,5,4,RI,1,0,0.057923662542107346,4,4,5,6,1
18363633,C,2012,50,6,f,2,2,,US,US,5,2,NE,1,0,-0.14918659074747767,2,2,5,6,1
7403895,C,2007,16,6,f,4,4,,US,US,3,4,,1,0,-0.1058850428496041,4,4,3,6,1
2615708273,C,2014,21,7,f,4,4,,US,US,4,6,WA,1,0,-0.11399940617290028,4,6,4,7,1
8841722,C,2008,45,6,m,4,4,,US,US,5,2,WV,0,0,0.8046333639762668,4,2,5,6,1
17863932,C,2012,17,6,f,5,5,,US,US,3,4,IL,1,0,0.5568619775645747,5,4,3,6,1
12486113,C,2010,43,6,f,5,5,,US,US,5,1,IA,1,0,0.6772144389390277,5,1,5,6,1
17026514,C,2012,17,9,m,4,4,,US,US,3,7,IL,0,0,0.5206946481531418,4,7,3,9,1
6443984,C,2007,41,9,f,4,4,,US,US,6,7,CA,1,0,-0.44176084138700766,4,7,6,9,1
14094330,C,2010,30,6,f,5,5,,US,US,8,6,NC,1,0,0.8190254372097583,5,6,8,6,1
7413376,C,2007,NA,NA,.,6,6,,.,.,NA,NA,,NA,NA,0.5073827629940958,6,NA,NA,NA,1
2616742419,C,2015,NA,NA,.,4,4,,-999,-999,NA,5,,NA,1,0.21778083312626706,4,5,NA,NA,1
9949622,C,2009,30,2,m,3,3,,US,US,7,6,NY,0,0,0.39990833601362785,3,6,7,2,1
2618247733,C,2015,NA,8,.,4,4,,1,1,NA,3,NY,1,0,-0.1093040952153862,4,3,5,8,1
7506073,C,2007,34,6,f,4,4,,US,US,5,1,WA,1,0,0.17861864058949148,4,1,5,6,1
15080673,C,2011,21,5,f,4,4,,US,US,4,4,FL,1,0,0.036643462306216366,4,4,4,5,1
2613823102,C,2014,24,5,f,2,2,,US,US,6,6,NC,1,0,0.06931180050692591,2,6,6,5,1
2613903387,C,2014,18,6,f,4,4,,US,US,5,3,,1,0,0.18023502102720868,4,3,5,6,1
11181300,C,2009,50,9,f,3,3,,US,US,5,4,CA,1,0,-0.21406608362248192,3,4,5,9,1
15270482,C,2011,55,5,f,3,3,,US,US,5,4,NJ,1,0,-0.4307371819164881,3,4,5,5,1
2614164690,C,2014,20,6,f,4,4,,US,US,5,5,NJ,1,0,0.40790346485400397,4,5,5,6,1
13410492,C,2010,20,6,f,4,4,,US,US,6,4,MA,1,0,0.2437608223730863,4,4,6,6,1
11848869,C,2009,56,6,m,6,6,,US,US,7,2,TX,0,0,-0.4835013060660679,6,2,7,6,1
14098023,C,2010,19,6,f,4,4,,US,US,5,3,NY,1,0,-0.27165113315998074,4,3,5,6,1
19713120,C,2013,17,6,m,6,6,,EG,IT,4,5,,0,1,1.0820284618375076,6,5,4,6,1
9706144,C,2008,20,6,m,5,5,,US,US,5,2,NJ,0,0,0.49720313269807714,5,2,5,6,1
19133355,C,2013,20,6,f,5,5,,US,US,5,2,WI,1,0,-0.4095605876541781,5,2,5,6,1
16260346,C,2011,17,5,m,4,4,,US,US,3,4,MI,0,0,0.35347484085459435,4,4,3,5,1
10021748,C,2009,27,6,m,5,5,,US,US,12,5,MI,0,0,0.6178347902361616,5,5,10,6,1
9041517,C,2008,22,2,m,6,6,,US,US,5,6,CA,0,0,0.6531570493316325,6,6,5,2,1
10506393,C,2009,32,6,f,5,5,,US,US,5,4,NC,1,0,0.5091056407284316,5,4,5,6,1
20219420,C,2013,19,6,f,5,5,,US,US,5,5,IA,1,0,0.36163525542076114,5,5,5,6,1
10389595,C,2009,18,6,f,4,4,,US,US,5,6,WA,1,0,0.17312918854031956,4,6,5,6,1
13256886,C,2010,45,6,m,4,4,,UK,UK,7,5,,0,1,0.6913785956643905,4,5,7,6,1
2618362392,C,2015,NA,NA,.,5,5,,.,.,NA,NA,,NA,NA,0.5863055527127479,5,NA,NA,NA,1
2614068315,C,2014,24,6,f,6,6,,US,US,7,4,,1,0,0.002302766623599517,6,4,7,6,1
16250545,C,2011,48,6,f,4,4,,US,US,10,6,MO,1,0,0.6010643886604502,4,6,10,6,1
19694642,C,2013,46,6,m,4,4,,US,US,6,7,NY,0,0,0.8516592771301347,4,7,6,6,1
18516566,C,2012,33,5,f,4,4,,US,US,5,6,FL,1,0,-0.71054393863443,4,6,5,5,1
13247178,C,2010,29,6,f,4,4,,US,US,5,6,CA,1,0,0.22920584610617356,4,6,5,6,1
2617971318,C,2015,NA,6,.,4,4,,1,1,NA,4,FL,1,0,0.15611080752434875,4,4,5,6,1
2616264315,C,2015,22,2,m,4,4,,US,US,4,4,CA,0,0,0.2390793149195895,4,4,4,2,1
7167192,C,2007,61,6,m,6,6,,US,US,8,2,TN,0,0,0.8172092918181799,6,2,8,6,1
18632007,C,2013,16,6,f,4,4,,US,US,3,4,,1,0,0.34776001840711385,4,4,3,6,1
19087713,C,2013,18,6,f,5,5,,US,US,3,6,IL,1,0,0.7005543958638643,5,6,3,6,1
15166025,C,2011,28,6,f,4,4,,US,US,9,7,CA,1,0,0.3643612500639458,4,7,9,6,1
2618967833,C,2015,NA,NA,.,4,4,,1,1,NA,6,IL,1,0,0.5300465446487159,4,6,5,NA,1
2614998089,C,2014,17,6,f,4,4,,US,US,3,2,PA,1,0,-0.044765648180490586,4,2,3,6,1
10096847,C,2009,17,6,f,4,4,,US,US,3,6,MA,1,0,0.8812769491483062,4,6,3,6,1
2616229420,C,2015,20,1,f,4,4,,US,US,5,NA,,1,0,0.024697461953551908,4,NA,5,1,1
10247916,C,2009,19,6,f,6,6,,US,US,5,3,CA,1,0,0.40265480091105355,6,3,5,6,1
2617777623,C,2015,NA,7,.,4,4,,1,1,NA,4,CA,NA,0,-0.45414378380878745,4,4,8,7,1
11229418,C,2009,23,6,m,5,5,,US,US,5,2,CA,0,0,0.898162719030454,5,2,5,6,1
7459176,C,2007,27,9,m,4,4,,IE,US,4,NA,PA,0,1,-0.10564122024363581,4,NA,4,9,1
10696059,C,2009,20,6,f,5,5,,US,US,5,6,IA,1,0,0.8847602355779314,5,6,5,6,1
21122480,C,2014,16,6,f,4,4,,US,US,2,4,NJ,1,0,0.7128910467129873,4,4,2,6,1
6102941,C,2007,27,5,f,2,2,,US,US,7,6,MD,1,0,0.225428144973479,2,6,7,5,1
16701092,C,2012,31,7,m,4,4,,US,US,5,6,CA,0,0,0.12800807753748028,4,6,5,7,1
2616946360,C,2015,NA,6,.,4,4,,1,1,NA,1,OH,1,0,-0.942867900035993,4,1,9,6,1
6980571,C,2007,23,6,m,4,4,,US,US,6,4,TX,0,0,0.013331433166852355,4,4,6,6,1
10459385,C,2009,17,6,m,4,4,,US,US,3,4,OH,0,0,0.8709452987895339,4,4,3,6,1
10049086,C,2009,35,6,m,4,4,,US,US,7,2,TN,0,0,0.04416583395488846,4,2,7,6,1
14514493,C,2011,23,5,m,3,3,,US,US,5,7,OH,0,0,0.10997665133856388,3,7,5,5,1
2617662988,C,2015,NA,6,.,4,4,,1,null,NA,4,,1,0,0.26519185676544393,4,4,5,6,1
10724135,C,2009,47,6,f,4,4,,NZ,GL,4,7,,1,1,0.5463863382715298,4,7,4,6,1
2617951361,C,2015,NA,6,.,4,4,,1,1,NA,6,CA,1,0,0.217186363921421,4,6,7,6,1
9520170,C,2008,22,6,f,4,4,,US,US,7,6,MA,1,0,0.40754518223326625,4,6,7,6,1
20276255,C,2013,21,6,f,5,5,,US,US,5,6,TX,1,0,0.6714623872537091,5,6,5,6,1
19827101,C,2013,20,6,f,4,4,,US,US,5,7,,1,0,0.5015496342559229,4,7,5,6,1
8889710,C,2008,20,3,f,5,5,,MY,MY,5,7,,1,1,0.17003173954430892,5,7,5,3,1
2619674961,C,2015,NA,6,.,6,6,,1,1,NA,6,NC,0,0,-0.3435464830439723,6,6,10,6,1
12680255,C,2010,NA,NA,.,4,4,,.,.,NA,NA,,NA,NA,0.6573694564901553,4,NA,NA,NA,1
11498490,C,2009,26,6,f,4,4,,US,US,13,4,MI,1,0,0.32087287932147657,4,4,10,6,1
16611571,C,2012,NA,NA,.,4,4,,.,.,NA,NA,,NA,NA,-0.13833245757899784,4,NA,NA,NA,1
11056673,C,2009,16,6,f,4,4,,US,US,3,4,OH,1,0,0.3703420342798278,4,4,3,6,1
14223764,C,2010,49,6,m,7,7,,US,US,5,2,,0,0,0.17807856862939808,7,2,5,6,1
19317067,C,2013,17,8,f,4,4,,US,US,3,2,IL,1,0,-0.009046200779233182,4,2,3,8,1
2613941947,C,2014,20,6,f,6,6,,US,US,5,5,IN,1,0,0.25469112655142817,6,5,5,6,1
11134341,C,2009,NA,NA,.,7,7,,.,.,NA,NA,,NA,NA,0.6172630271622941,7,NA,NA,NA,1
7596078,C,2007,19,NA,f,4,4,,US,US,5,NA,CA,1,0,0.6396999384129008,4,NA,5,NA,1
17555731,C,2012,53,6,f,6,6,,US,US,8,5,TX,1,0,0.5924650486546981,6,5,8,6,1
16747767,C,2012,22,9,f,4,4,,US,US,5,4,MD,1,0,-0.38431634771251205,4,4,5,9,1
13336793,C,2010,25,6,m,4,4,,US,US,4,4,IN,0,0,0.6609267786218167,4,4,4,6,1
11466592,C,2009,18,6,f,5,5,,US,US,4,4,IN,1,0,0.61057829331467794,5,4,4,6,1
2614935842,C,2014,15,6,f,4,4,,US,US,3,4,MS,1,0,-0.021840728191308334,4,4,3,6,1
2615105811,C,2014,18,6,m,5,5,,US,US,4,2,PA,0,0,0.5103057899759813,5,2,4,6,1
2614688825,C,2014,19,6,m,5,5,,US,US,5,7,CT,0,0,0.5009851621546177,5,7,5,6,1
15025520,C,2011,14,6,f,4,4,,US,US,2,NA,MA,1,0,0.44646082004107013,4,NA,2,6,1
