session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,politics,education,racenum,filter_$,implicit,explicit
12374229,C,2009,NA,NA,.,5,5,,.,.,NA,NA,,NA,NA,NA,NA,NA,1,0.2814134225436999,5
9456889,C,2008,40,6,f,5,5,,US,US,9,7,MI,1,0,7,9,6,1,0.795325421291069,5
11646155,C,2009,19,8,f,4,4,,NZ,NZ,7,6,,1,1,6,7,8,1,0.4772082653587474,4
2616841515,C,2015,NA,6,.,5,5,,1,1,NA,6,WI,0,0,6,5,6,1,0.7596002382196698,5
2618062632,C,2015,NA,6,.,4,4,,1,74,NA,7,,0,0,7,10,6,1,0.07697710790584028,4
18450148,C,2012,18,6,f,5,5,,US,US,4,3,WI,1,0,3,4,6,1,0.6604124219190282,5
7094578,C,2007,20,6,f,4,4,,US,US,6,NA,OH,1,0,NA,6,6,1,0.19110891247375333,4
8551317,C,2008,18,6,f,4,4,,US,US,5,6,AL,1,0,6,5,6,1,0.30525447807164957,4
8645226,C,2008,50,6,f,4,4,,US,US,4,4,MO,1,0,4,4,6,1,-0.5329244320662587,4
20833500,C,2014,22,8,m,4,4,,US,US,5,4,WA,0,0,4,5,8,1,-0.31745477898990493,4
15244006,C,2011,21,2,m,6,6,,US,US,5,3,CA,0,0,3,5,2,1,1.042611635257452,6
7092437,C,2007,17,6,m,4,4,,DE,DE,3,4,IN,0,1,4,3,6,1,-0.14258503698031993,4
21018084,C,2014,17,6,m,6,6,,US,US,3,1,GA,0,0,1,3,6,1,0.4888658894831503,6
15518714,C,2011,41,5,f,4,4,,US,US,5,4,LA,1,0,4,5,5,1,0.21838361154758137,4
20088792,C,2013,52,6,f,4,4,,US,US,7,2,FL,1,0,2,7,6,1,0.2716723605300925,4
11969030,C,2009,47,6,m,4,4,,US,US,6,1,PA,0,0,1,6,6,1,-0.33064287451203844,4
14251017,C,2010,19,5,f,4,4,,US,US,5,5,NJ,1,0,5,5,5,1,-0.2552931899617061,4
2613863974,C,2014,16,9,f,5,5,,US,US,3,4,MA,1,0,4,3,9,1,1.0806491583561804,5
9814133,C,2008,18,6,f,5,5,,US,US,3,4,IN,1,0,4,3,6,1,0.26215574639769534,5
7373125,C,2007,19,6,m,5,5,,US,US,6,2,CA,0,0,2,6,6,1,0.1342756919676381,5
9083432,C,2008,18,6,m,4,4,,US,US,4,4,NJ,0,0,4,4,6,1,0.20340621709321616,4
11812196,C,2009,27,6,m,6,6,,US,US,5,4,IL,0,0,4,5,6,1,0.6200736477717604,6
19108298,C,2013,16,6,f,3,3,,FI,FI,3,4,,1,1,4,3,6,1,-0.2713196555572759,3
10374427,C,2009,54,6,f,5,5,,US,US,13,7,,1,0,7,10,6,1,0.0558221285820928,5
5769167,C,2007,19,NA,m,6,6,,nu,US,5,NA,OH,0,1,NA,5,NA,1,0.4679123052999724,6
13507640,C,2010,22,8,m,4,4,,US,US,5,4,TX,0,0,4,5,8,1,-0.2370660137200245,4
6747360,C,2007,39,3,f,5,5,,IN,AE,6,4,WV,1,1,4,6,3,1,0.32369234530320434,5
10758248,C,2009,19,6,f,6,6,,US,US,5,4,WI,1,0,4,5,6,1,0.2430298460566272,6
10323026,C,2009,18,5,f,5,5,,US,US,5,4,IL,1,0,4,5,5,1,-0.3044705803820514,5
18879068,C,2013,19,6,f,4,4,,US,US,5,2,MO,1,0,2,5,6,1,0.6128106262726396,4
8837713,C,2008,34,6,m,4,4,,US,US,4,3,ME,0,0,3,4,6,1,0.19113283715648008,4
