session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,Implicit,Explicit,politics,education,racenum,filter_$
2618777554,C,2015,NA,NA,.,4,4,,1,1,NA,4,FL,1,0,0.2762459116194016,4,4,3,NA,1
14672164,C,2011,39,5,f,1,1,,US,US,6,6,MS,1,0,0.2784246773708578,1,6,6,5,1
2614992390,C,2014,19,6,m,4,4,,US,US,5,3,MD,0,0,0.963018529592969,4,3,5,6,1
15169812,C,2011,42,6,f,5,5,,US,US,6,4,CT,1,0,0.19363572351026254,5,4,6,6,1
9788352,C,2008,43,6,f,4,4,,US,US,4,7,PA,1,0,0.14212693810239901,4,7,4,6,1
6177445,C,2007,29,6,m,7,7,,US,US,7,3,TX,0,0,0.9494655958899304,7,3,7,6,1
15648874,C,2011,17,6,m,5,5,,US,US,3,6,OH,0,0,1.1075645566894714,5,6,3,6,1
2615833992,C,2014,63,6,m,4,4,,US,US,10,7,MN,0,0,-0.3395557563112209,4,7,10,6,1
10085299,C,2009,25,7,f,4,4,,US,US,5,4,AZ,1,0,0.6061707183543118,4,4,5,7,1
14306519,C,2010,25,5,m,4,4,,US,US,5,6,CA,0,0,0.12212098207934749,4,6,5,5,1
2615464327,C,2014,19,5,m,4,4,,US,US,5,3,NE,0,0,0.04359932291063212,4,3,5,5,1
19453950,C,2013,24,5,m,4,4,,SZ,US,5,5,MA,0,1,-0.4237034755379058,4,5,5,5,1
12253721,C,2009,20,6,f,4,4,,US,US,5,6,MA,1,0,0.7936256066575635,4,6,5,6,1
2614597322,C,2014,41,6,f,4,4,,US,US,10,5,CA,1,0,0.37206522908465867,4,5,10,6,1
2619601791,C,2015,NA,6,.,5,5,,104,104,NA,7,,0,1,0.20383233133674988,5,7,3,6,1
6508981,C,2007,47,6,f,4,4,,UK,CA,7,5,,1,1,0.4143651026072313,4,5,7,6,1
11740344,C,2009,42,6,m,4,4,,US,US,10,6,NY,0,0,-0.18116330461365107,4,6,10,6,1
16364280,C,2012,41,5,f,4,4,,US,US,5,4,,1,0,-0.4517244039852058,4,4,5,5,1
8713303,C,2008,15,8,m,4,4,,US,US,3,4,NY,0,0,0.8404804827244922,4,4,3,8,1
