session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,politics,education,racenum,filter_$,implicit,explicit
5412876,C,2007,26,5,f,2,2,,US,US,8,2,MO,1,0,2,8,5,1,0.32416897272481787,2
5415250,C,2007,63,6,m,4,4,,US,DE,12,7,AE,0,0,7,10,6,1,0.23695678756615704,4
5416410,C,2007,58,6,m,5,5,,US,US,10,NA,NY,0,0,NA,10,6,1,1.108625008999994,5
5417319,C,2007,28,8,m,3,3,,US,US,6,6,CA,0,0,6,6,8,1,-0.28561174153333485,3
5422907,C,2007,23,6,f,4,4,,US,US,9,5,CT,1,0,5,9,6,1,0.3908113202123271,4
5430819,C,2007,27,6,f,4,4,,LV,US,9,6,NY,1,1,6,9,6,1,-0.04805950835799724,4
5430969,C,2007,17,6,m,5,5,,US,US,3,2,OR,0,0,2,3,6,1,0.7562955340058942,5
5439009,C,2007,30,6,f,5,5,,US,US,4,1,NY,1,0,1,4,6,1,0.6559118649207034,5
5440747,C,2007,NA,5,f,1,1,,US,US,5,7,OH,1,0,7,5,5,1,-0.2924939647159034,1
5441224,C,2007,16,6,m,5,5,,US,US,3,4,,0,0,4,3,6,1,0.4139102937027295,5
5441900,C,2007,38,6,f,4,4,,US,US,NA,5,WA,1,0,5,NA,6,1,0.5883706643434283,4
5442137,C,2007,50,7,m,4,4,,US,US,9,6,MA,0,0,6,9,7,1,0.09164259962500164,4
5447095,C,2007,32,6,m,5,5,,US,US,13,4,NM,0,0,4,10,6,1,0.12408480393015212,5
5449067,C,2007,45,6,m,4,4,,US,US,14,4,TN,0,0,4,9,6,1,0.02052385224460985,4
5449985,C,2007,15,6,f,5,5,,CA,US,3,4,MI,1,1,4,3,6,1,0.9859947626237475,5
5450570,C,2007,41,5,m,4,4,,US,US,9,7,IL,0,0,7,9,5,1,-0.4955500452451863,4
5450866,C,2007,20,7,f,4,4,,US,US,5,7,WA,1,0,7,5,7,1,0.9516770662035183,4
5453919,C,2007,18,NA,m,4,4,,US,.,3,6,MA,0,0,6,3,NA,1,0.09758972855073994,4
5458383,C,2007,22,6,m,4,4,,US,US,7,1,NY,0,0,1,7,6,1,-0.4185502201194619,4
5462543,C,2007,17,6,f,4,4,,US,US,3,2,WI,1,0,2,3,6,1,0.04078583484953237,4
5467730,C,2007,23,9,f,3,3,,US,US,5,5,CA,1,0,5,5,9,1,1.2487236005257523,3
5468830,C,2007,46,9,m,4,4,,MX,US,6,6,,0,1,6,6,9,1,0.6169994051885761,4
5476863,C,2007,19,6,m,5,5,,UK,UK,8,5,,0,1,5,8,6,1,-0.02876920027852503,5
5481704,C,2007,43,6,m,5,5,,US,US,7,4,TX,0,0,4,7,6,1,0.8173316288335246,5
5485151,C,2007,19,5,f,3,3,,US,US,5,4,CT,1,0,4,5,5,1,-0.031698435932397656,3
5490040,C,2007,14,6,m,4,4,,US,US,3,7,MN,0,0,7,3,6,1,-0.388314117930985,4
5490789,C,2007,22,6,f,4,4,,US,US,5,5,AL,1,0,5,5,6,1,0.09554917419269882,4
5496238,C,2007,21,6,m,4,4,,US,US,5,4,FL,0,0,4,5,6,1,0.43921899790756486,4
5497212,C,2007,77,6,f,5,5,,US,US,6,5,CA,1,0,5,6,6,1,0.4064681491821652,5
5500596,C,2007,42,6,f,5,5,,US,US,12,6,NE,1,0,6,10,6,1,0.9439903303353936,5
5501042,C,2007,20,6,f,4,4,,US,US,5,7,NC,1,0,7,5,6,1,0.43335904679705006,4
5501094,C,2007,15,6,m,6,6,,US,US,3,2,AZ,0,0,2,3,6,1,0.09472800111192808,6
5503517,C,2007,44,6,f,5,5,,US,US,10,7,MD,1,0,7,10,6,1,0.09801988632754227,5
5505850,C,2007,40,6,m,5,5,,NZ,NZ,11,5,,0,1,5,10,6,1,0.5969249438382195,5
